5;2000;3000
10;13000;43000
15;39000;288000
20;83000;739000
25;160000;1349000
30;245000;2865000
35;448000;4713000
40;439000;6730000
45;655000;10117000
50;589000;12375000
55;686000;15632000
60;769000;20015000
65;913000;25438000
70;1160000;34529000
75;1451000;46769000
80;1635000;61169000
85;1891000;79117000
90;2262000;103383000
95;2678000;120978000
100;3157000;148201000
105;3524000;184859000
110;3915000;223983000
115;4680000;267933000
120;5092000;319825000
125;19845000;381702000
130;6679000;441856000
135;7471000;510007000
140;8288000;592478000
145;9215000;676328000
150;10318000;775033000
155;11498000;884528000
160;12298000;1009063000
165;13744000;1149854000
170;15004000;1504415000
175;16335000;1446035000
180;17806000;1618997000
185;19025000;1812046000
190;20824000;2036091000
195;22770000;2216564000
200;24172000;2447572000
205;25818000;2699467000
210;27843000;2975625000
215;29874000;3290100000
220;31890000;3605004000
225;34311000;3964337000
230;36232000;4269521000
235;38798000;4652807000
240;40969000;5073262000
245;43449000;5556097000
250;47826000;6456357000
255;48921000;6443009000
260;52338000;6987129000
265;55228000;7499336000
270;58274000;8157799000
275;61127000;8808522000
280;64947000;9354654000
285;68870000;10285711000
