Точность;Перебор (нс);Дихотомия (нс);
1.0000000000e+00;9.7892800000e+01;6.2384000000e+01;
9.5000000000e-01;7.3929200000e+01;4.5767700000e+01;
9.0250000000e-01;6.9998400000e+01;5.0067100000e+01;
8.5737500000e-01;7.2750400000e+01;4.9992000000e+01;
8.1450625000e-01;7.4193300000e+01;4.9235800000e+01;
7.7378093750e-01;7.6056100000e+01;4.8801400000e+01;
7.3509189062e-01;8.4683700000e+01;5.0893800000e+01;
6.9833729609e-01;8.3948800000e+01;5.0746800000e+01;
6.6342043129e-01;8.8511500000e+01;4.9856600000e+01;
6.3024940972e-01;8.9088400000e+01;4.9126200000e+01;
5.9873693924e-01;9.2725900000e+01;4.8841000000e+01;
5.6880009228e-01;9.9020700000e+01;4.9889100000e+01;
5.4036008766e-01;1.2555390000e+02;5.1022300000e+01;
5.1334208328e-01;1.2330640000e+02;5.0276300000e+01;
4.8767497912e-01;1.2592210000e+02;5.2326900000e+01;
4.6329123016e-01;1.3121140000e+02;6.1232800000e+01;
4.4012666865e-01;1.3796600000e+02;6.0473300000e+01;
4.1812033522e-01;1.3696260000e+02;5.9782700000e+01;
3.9721431846e-01;1.4499610000e+02;6.0361900000e+01;
3.7735360254e-01;1.5100840000e+02;5.9670800000e+01;
3.5848592241e-01;1.5472200000e+02;5.9896600000e+01;
3.4056162629e-01;1.6093620000e+02;5.8955700000e+01;
3.2353354497e-01;1.6595810000e+02;6.0124100000e+01;
3.0735686773e-01;1.7587800000e+02;5.9133700000e+01;
2.9198902434e-01;1.8308160000e+02;5.9592400000e+01;
2.7738957312e-01;1.9040020000e+02;5.8924700000e+01;
2.6352009447e-01;1.9842310000e+02;5.9381100000e+01;
2.5034408974e-01;2.0655070000e+02;6.0318700000e+01;
2.3782688526e-01;2.1653980000e+02;5.8725000000e+01;
2.2593554099e-01;2.2610600000e+02;6.5652500000e+01;
2.1463876394e-01;2.3615410000e+02;6.5902300000e+01;
2.0390682575e-01;2.4800830000e+02;6.5607300000e+01;
1.9371148446e-01;2.6116130000e+02;6.5686600000e+01;
1.8402591024e-01;2.6913130000e+02;6.6598300000e+01;
1.7482461472e-01;2.8255400000e+02;6.5910200000e+01;
1.6608338399e-01;2.9580540000e+02;6.5679900000e+01;
1.5777921479e-01;3.0986020000e+02;6.5999700000e+01;
1.4989025405e-01;3.2376570000e+02;6.5544600000e+01;
1.4239574135e-01;3.3792610000e+02;6.7259500000e+01;
1.3527595428e-01;3.5493070000e+02;6.5696300000e+01;
1.2851215657e-01;3.7573360000e+02;6.5699100000e+01;
1.2208654874e-01;3.8940640000e+02;6.5699500000e+01;
1.1598222130e-01;4.0775150000e+02;7.2678300000e+01;
1.1018311024e-01;4.3015260000e+02;7.2832000000e+01;
1.0467395472e-01;4.5097140000e+02;7.3940700000e+01;
9.9440256987e-02;4.7653590000e+02;7.3468200000e+01;
9.4468244138e-02;4.9836520000e+02;7.3442600000e+01;
8.9744831931e-02;5.2719650000e+02;7.4917900000e+01;
8.5257590334e-02;5.5149160000e+02;7.3613900000e+01;
8.0994710818e-02;5.8567510000e+02;7.4049500000e+01;
7.6944975277e-02;6.0611070000e+02;7.3778400000e+01;
7.3097726513e-02;6.3384400000e+02;7.4036300000e+01;
6.9442840187e-02;6.6458290000e+02;7.3124000000e+01;
6.5970698178e-02;6.9810740000e+02;7.4454700000e+01;
